,criteria,labels
3135,fortunately there was not real death or injury associated before the entire first boston quarter,1
3136,There whas on serious death or injury yn the first quater,1
3137,most offer pre - retirement portfolio options for their employees,1
3138,Offer pre - retirement plannign phone emploiyee,1
3139,player development your critics are supporting so long we offer to all of you junior employees,1
3140,Career development critics is somethimg we offer to all of ou employeer,1
3141,"we ensure social diversity, including minorities... community vulnerable minority groups",1
3142,"Wwe enssure diversity, includind minorities and vulnerable groups",1
3143,we act to advance diversity perception in the all parts east indo nepal youth organization,1
3144,We aim t promot diveristy in alo parts of the organization,1
3145,we who have already acquired the remote declaration information system to facilitate a monitoring of the unwanted situation is blaming the social discrimination,1
3146,We havr opened a declaration sistem to facilitate the reporting os the unwant situatione linked to discrimonation,1
3147,growth of american main suppliers rely on other areas considered at fire risk,2
3148,Some of or suppliers operate tn areas considered at risck,2
3149,how this amount had increased as impact point in a region,2
3150,This unfortunately incresed hthe impact in thre region,2
3151,further specialist training were mostly personalized for of various national departments branches of the department,1
3152,The tranining is personalized for thet various departments of tem orgnization,1
3153,the safety attenuation approach with health science safety management includes both with physical interaction accompanied by improving practical training,1
3154,Tne attenuation of healty andl safety impairs includes boch physical measures and improving training,1
3155,"despite the movement through using these routines, populations also underwent a substantial decrease rates in reporting chronic injuries",1
